Tiempo (ms);Ángulo 1
0;-108.643096923828
33;-109.018394470215
67;-109.505012512207
100;-110.048194885254
133;-110.578102111816
167;-111.023498535156
200;-111.344482421875
233;-111.551368713379
267;-111.681510925293
300;-111.758476257324
333;-111.784660339355
367;-111.75821685791
400;-111.674835205078
433;-111.52367401123
467;-111.296394348145
500;-110.997291564941
533;-110.644508361816
567;-110.262390136719
600;-109.871208190918
633;-109.481315612793
667;-109.091316223145
700;-108.692794799805
733;-108.283561706543
767;-107.877799987793
800;-107.502143859863
833;-107.183952331543
867;-106.932800292969
900;-106.720916748047
933;-106.497802734375
967;-106.235977172852
1000;-105.950149536133
1033;-105.677612304688
1067;-105.447235107422
1100;-105.255195617676
1133;-105.07438659668
1166;-104.883323669434
1200;-104.665458679199
1233;-104.399574279785
1267;-104.078392028809
1300;-103.719566345215
1333;-103.346954345703
1367;-102.969818115234
1400;-102.580810546875
1433;-102.169189453125
1467;-101.734184265137
1500;-101.290588378906
1533;-100.866180419922
1567;-100.493217468262
1600;-100.201858520508
1633;-100.017936706543
1667;-99.9573516845703
1700;-100.017555236816
1733;-100.177207946777
1767;-100.408973693848
1800;-100.695678710938
1833;-101.037078857422
1867;-101.444160461426
1900;-101.931861877441
1933;-102.515823364258
1967;-103.191955566406
2000;-103.90274810791
2033;-104.547744750977
2067;-105.0458984375
2100;-105.384994506836
2133;-105.623832702637
2167;-105.85228729248
2200;-106.136993408203
2233;-106.501281738281
2267;-106.940048217773
2300;-107.434181213379
2333;-107.956489562988
2367;-108.472465515137
2400;-108.941650390625
2433;-109.33812713623
2467;-109.680854797363
2500;-110.022109985352
2533;-110.398277282715
2567;-110.808403015137
2600;-111.23095703125
2633;-111.640228271484
2667;-112.012908935547
2700;-112.34130859375
2733;-112.647583007813
2767;-112.966621398926
2800;-113.309898376465
2833;-113.66748046875
2867;-114.040748596191
2900;-114.442802429199
2933;-114.867378234863
2967;-115.28303527832
3000;-115.666831970215
3033;-116.034255981445
3067;-116.423049926758
3100;-116.853050231934
3133;-117.323303222656
3167;-117.836418151855
3200;-118.386291503906
3233;-118.922325134277
3267;-119.359115600586
3300;-119.626907348633
3333;-119.703216552734
3367;-119.621170043945
3400;-119.467208862305
3433;-119.353851318359
3467;-119.368225097656
3500;-119.517639160156
3534;-119.722793579102
3567;-119.888893127441
3600;-119.977668762207
3634;-119.993293762207
3667;-119.921493530273
3700;-119.72583770752
3734;-119.40242767334
3767;-118.996726989746
3800;-118.560989379883
3834;-118.119758605957
3867;-117.673927307129
3900;-117.219665527344
3934;-116.757888793945
3967;-116.291549682617
4000;-115.821296691895
4034;-115.345230102539
4067;-114.863357543945
4100;-114.384101867676
4134;-113.926658630371
4167;-113.51342010498
4200;-113.149642944336
4234;-112.803733825684
4267;-112.420791625977
4300;-111.966194152832
4334;-111.453765869141
4367;-110.936447143555
4400;-110.469757080078
4434;-110.087669372559
4467;-109.81143951416
4500;-109.654342651367
4534;-109.615119934082
4567;-109.681045532227
4600;-109.831062316895
4634;-110.035415649414
4667;-110.266586303711
4700;-110.516075134277
4734;-110.792839050293
4767;-111.103775024414
4800;-111.438354492188
4834;-111.767616271973
4867;-112.059844970703
4900;-112.301727294922
4934;-112.497024536133
4967;-112.645980834961
5000;-112.740272521973
