Tiempo (ms);Ángulo 1
0;123.519668579102
33;123.731842041016
67;123.759284973145
100;123.486991882324
133;122.969276428223
167;122.370559692383
200;121.763000488281
234;121.086631774902
267;120.301307678223
300;119.464622497559
334;118.662612915039
367;117.93424987793
400;117.270042419434
434;116.655120849609
467;116.101806640625
500;115.647888183594
534;115.328178405762
567;115.150199890137
601;115.110382080078
634;115.214584350586
667;115.450660705566
701;115.766036987305
734;116.099830627441
767;116.422431945801
801;116.748954772949
834;117.13272857666
868;117.638275146484
901;118.305313110352
934;119.115203857422
968;119.977516174316
1001;120.769393920898
1034;121.398933410645
1068;121.842651367188
1101;122.15763092041
1134;122.44499206543
1168;122.769805908203
1201;123.129783630371
1235;123.500312805176
1268;123.877136230469
1301;124.263954162598
1335;124.633743286133
1368;124.900024414063
1401;124.920974731445
1435;124.578308105469
1468;123.893432617188
1502;123.029808044434
1535;122.158737182617
1568;121.361640930176
1602;120.651710510254
1635;120.027816772461
1668;119.485336303711
1702;119.004692077637
1735;118.567100524902
1768;118.179672241211
1802;117.860542297363
1835;117.611175537109
1869;117.419609069824
1902;117.268081665039
1935;117.127632141113
1969;116.967155456543
2002;116.781265258789
2035;116.617240905762
2069;116.590492248535
2102;116.846534729004
2135;117.451179504395
2169;118.331893920898
2202;119.351806640625
2236;120.40177154541
2269;121.412620544434
2302;122.326759338379
2336;123.093215942383
2369;123.697006225586
2402;124.176132202148
2436;124.600395202637
2469;125.032051086426
2502;125.472091674805
2536;125.81681060791
2569;125.893402099609
2603;125.582916259766
2636;124.932312011719
2669;124.124862670898
2703;123.310760498047
2736;122.513442993164
2769;121.725296020508
2803;120.998329162598
2836;120.399559020996
2870;119.944282531738
2903;119.58960723877
2936;119.269325256348
2970;118.945556640625
3003;118.643211364746
3036;118.444236755371
3070;118.452171325684
3103;118.736633300781
3136;119.277618408203
3170;119.973526000977
3203;120.728523254395
3237;121.505813598633
3270;122.278335571289
3303;122.983688354492
3337;123.564880371094
3370;124.023132324219
3403;124.409873962402
3437;124.782859802246
3470;125.172508239746
3504;125.56575012207
3537;125.896781921387
3570;126.043037414551
3604;125.865753173828
3637;125.327796936035
3670;124.560905456543
3704;123.739219665527
3737;122.92325592041
3770;122.095642089844
3804;121.268356323242
3837;120.48307800293
3871;119.769760131836
3904;119.143630981445
3937;118.606224060059
3971;118.141662597656
4004;117.73649597168
4037;117.403373718262
4071;117.178886413574
4104;117.10538482666
4137;117.200256347656
4171;117.424133300781
4204;117.699661254883
4238;117.991844177246
4271;118.348709106445
4304;118.830986022949
4338;119.441581726074
4371;120.153396606445
4404;120.962059020996
4438;121.870590209961
4471;122.830322265625
4504;123.729133605957
4538;124.454612731934
4571;124.974235534668
4605;125.353775024414
4638;125.694602966309
4671;126.059120178223
4705;126.439781188965
4738;126.753204345703
4771;126.849166870117
4805;126.584342956543
4838;125.953948974609
4872;125.118507385254
4905;124.258422851563
4938;123.447647094727
4972;122.681289672852
5005;121.954788208008
5038;121.286125183105
5072;120.692321777344
5105;120.169227600098
5138;119.703422546387
5172;119.303649902344
5205;119.02075958252
5239;118.951148986816
5272;119.204780578613
5305;119.817596435547
5339;120.683624267578
5372;121.603729248047
5405;122.40168762207
5439;122.991477966309
5472;123.38557434082
5506;123.671485900879
5539;123.946990966797
5572;124.255661010742
5606;124.586929321289
5639;124.922721862793
5672;125.2685546875
5706;125.641716003418
5739;126.038986206055
5772;126.426475524902
5806;126.745719909668
5839;126.905708312988
5873;126.791236877441
5906;126.34489440918
5939;125.654098510742
5973;124.88614654541
6006;124.126899719238
6039;123.34440612793
6073;122.498336791992
6106;121.628349304199
6139;120.834594726563
6173;120.199569702148
6206;119.735473632813
6240;119.391654968262
6273;119.103691101074
6306;118.841232299805
6340;118.613334655762
6373;118.450164794922
6406;118.398429870605
6440;118.503425598145
6473;118.769340515137
6506;119.158226013184
6540;119.637344360352
6573;120.198448181152
6607;120.827606201172
6640;121.491310119629
6673;122.160827636719
6707;122.828025817871
6740;123.488838195801
6773;124.115203857422
6807;124.650459289551
6840;125.056678771973
6874;125.366523742676
6907;125.662872314453
6940;126.00968170166
6974;126.401176452637
7007;126.752029418945
7040;126.919723510742
7074;126.764961242676
7107;126.252716064453
7140;125.501541137695
7174;124.681221008301
7207;123.874008178711
7241;123.078330993652
7274;122.304931640625
7307;121.614784240723
7341;121.06615447998
7374;120.653610229492
7407;120.316375732422
7441;119.995346069336
7474;119.667579650879
7508;119.341163635254
7541;119.061248779297
7574;118.933494567871
7608;119.084564208984
7641;119.560401916504
7674;120.291053771973
7708;121.161437988281
7741;122.072784423828
7774;122.942886352539
7808;123.702499389648
7841;124.313468933105
7875;124.787338256836
7908;125.180236816406
7941;125.558166503906
7975;125.956596374512
8008;126.360794067383
8041;126.707969665527
8075;126.896949768066
8108;126.808296203613
8141;126.378608703613
8175;125.694412231445
8208;124.942481994629
8242;124.234718322754
8275;123.560119628906
8308;122.886589050293
8342;122.214065551758
8375;121.553062438965
8408;120.911987304688
8442;120.303062438965
8475;119.749732971191
8508;119.285469055176
8542;118.953125
8575;118.814598083496
8609;118.941253662109
8642;119.364479064941
8675;120.03670501709
8709;120.847915649414
8742;121.664878845215
8775;122.368194580078
8809;122.900688171387
8842;123.287796020508
8876;123.59497833252
8909;123.877792358398
8942;124.167976379395
8976;124.475059509277
9009;124.794235229492
9042;125.118339538574
9076;125.43766784668
9109;125.73998260498
9142;126.021675109863
9176;126.282974243164
9209;126.502998352051
9243;126.61515045166
9276;126.504272460938
9309;126.078544616699
9343;125.381881713867
9376;124.570762634277
9409;123.75952911377
9443;122.966110229492
9476;122.187347412109
9510;121.444053649902
9543;120.771377563477
9576;120.199401855469
9610;119.736236572266
9643;119.375587463379
9676;119.128890991211
9710;119.058395385742
9743;119.257026672363
9776;119.745895385742
9810;120.421073913574
9843;121.146217346191
9877;121.855400085449
9910;122.542694091797
9943;123.19229888916
9977;123.758247375488
10010;124.209846496582
10043;124.560928344727
10077;124.853141784668
10110;125.128219604492
10143;125.408355712891
10177;125.698631286621
10210;126.001159667969
10244;126.3134765625
10277;126.605354309082
10310;126.78392791748
10344;126.704887390137
10377;126.286521911621
10410;125.615814208984
10444;124.862083435059
10477;124.102203369141
10510;123.315238952637
10544;122.49275970459
10577;121.671226501465
10611;120.900466918945
10644;120.218284606934
10677;119.638511657715
10711;119.164085388184
10744;118.803596496582
10777;118.560333251953
10811;118.435165405273
10844;118.458610534668
10878;118.68359375
10911;119.120780944824
10944;119.703788757324
10978;120.343879699707
11011;120.996620178223
11044;121.658851623535
11078;122.335342407227
11111;123.024864196777
11144;123.713073730469
11178;124.356994628906
11211;124.896377563477
11245;125.311790466309
11278;125.653091430664
11311;125.992240905762
11345;126.359672546387
11378;126.701416015625
11411;126.878265380859
11445;126.744773864746
11478;126.261856079102
11512;125.531585693359
11545;124.701385498047
11578;123.845321655273
11612;122.978172302246
11645;122.140159606934
11678;121.393646240234
11712;120.77042388916
11745;120.273895263672
11778;119.902946472168
11812;119.643600463867
11845;119.457191467285
11879;119.293350219727
11912;119.117980957031
11945;118.93822479248
11979;118.813720703125
12012;118.845184326172
12045;119.126022338867
12079;119.682289123535
12112;120.455032348633
12145;121.32056427002
12179;122.133140563965
12212;122.791244506836
12246;123.278137207031
12279;123.640647888184
12312;123.940475463867
12346;124.220733642578
12379;124.503601074219
12412;124.801383972168
12446;125.11563873291
12479;125.429222106934
12512;125.716667175293
12546;125.976791381836
12579;126.239639282227
12613;126.52271270752
12646;126.779495239258
12679;126.889289855957
12713;126.722274780273
12746;126.260940551758
12779;125.633460998535
12813;124.969825744629
12846;124.275344848633
12880;123.502006530762
12913;122.658241271973
12946;121.796928405762
12980;120.964668273926
13013;120.189804077148
13046;119.493186950684
13080;118.897636413574
13113;118.425193786621
13146;118.091522216797
13180;117.899078369141
13213;117.835144042969
13247;117.89330291748
13280;118.084915161133
13313;118.403121948242
13347;118.80158996582
13380;119.239723205566
13413;119.725608825684
13447;120.28621673584
13480;120.91072845459
13514;121.559677124023
13547;122.21231842041
13580;122.861961364746
13614;123.49186706543
13647;124.084739685059
13680;124.622009277344
13714;125.076118469238
13747;125.45068359375
13780;125.804626464844
13814;126.196655273438
13847;126.628295898438
13881;127.041206359863
13914;127.33553314209
13947;127.393272399902
13981;127.126365661621
14014;126.550102233887
14047;125.79859161377
14081;125.011924743652
14114;124.229614257813
14147;123.430305480957
14181;122.617401123047
14214;121.834823608398
14248;121.136039733887
14281;120.552978515625
14314;120.085273742676
14348;119.705841064453
14381;119.386421203613
14414;119.123390197754
14448;118.916778564453
14481;118.740089416504
14514;118.567245483398
14548;118.414894104004
14581;118.328468322754
14615;118.334335327148
14648;118.421943664551
14681;118.565254211426
14715;118.756416320801
14748;119.02059173584
14781;119.393562316895
14815;119.89192199707
14848;120.505165100098
14882;121.197830200195
14915;121.927825927734
14948;122.672096252441
14982;123.418106079102
15015;124.134429931641
15048;124.76741027832
15082;125.275230407715
15115;125.667503356934
15148;126.002319335938
15182;126.338760375977
15215;126.694938659668
15249;127.03434753418
15282;127.26277923584
15315;127.245834350586
15349;126.886077880859
15382;126.224502563477
15415;125.424209594727
15449;124.623382568359
15482;123.858993530273
15516;123.11597442627
15549;122.372413635254
15582;121.62752532959
15616;120.924263000488
15649;120.315216064453
15682;119.812530517578
15716;119.387664794922
15749;119.003273010254
15782;118.647773742676
15816;118.357482910156
15849;118.201370239258
15883;118.224128723145
15916;118.400970458984
15949;118.663047790527
15983;118.970161437988
16016;119.34156036377
16049;119.813659667969
16083;120.390892028809
16116;121.042045593262
16149;121.733657836914
16183;122.458953857422
16216;123.212265014648
16250;123.946510314941
16283;124.589630126953
16316;125.095039367676
16350;125.479362487793
16383;125.818832397461
16416;126.18473815918
16450;126.585151672363
16483;126.968315124512
16516;127.240867614746
16550;127.280426025391
16583;126.996429443359
16617;126.422920227051
16650;125.70401763916
16683;124.952453613281
16717;124.174995422363
16750;123.340660095215
16783;122.452423095703
16817;121.554893493652
16850;120.715972900391
16884;119.995223999023
16917;119.41626739502
16950;118.965324401855
16984;118.60620880127
17017;118.30394744873
17050;118.05793762207
17084;117.918411254883
17117;117.951644897461
17150;118.173934936523
17184;118.521255493164
17217;118.901191711426
17251;119.281646728516
17284;119.707015991211
17317;120.224578857422
17351;120.826499938965
17384;121.475921630859
17417;122.163177490234
17451;122.901329040527
17484;123.66593170166
17518;124.375816345215
17551;124.949523925781
17584;125.369064331055
17618;125.691139221191
17651;126.000968933105
17684;126.346481323242
17718;126.708755493164
17751;127.016204833984
17784;127.162139892578
17818;127.029098510742
17851;126.562995910645
17885;125.84098815918
17918;125.011138916016
17951;124.162445068359
17985;123.305351257324
18018;122.451110839844
18051;121.64013671875
18085;120.909591674805
18118;120.282073974609
18151;119.771957397461
18185;119.382514953613
