Tiempo (ms);Ángulo 1
0;-14.0061311721802
33;-14.0199069976807
67;-14.3858690261841
100;-15.4615602493286
133;-17.2498779296875
167;-19.1695423126221
200;-20.4058609008789
233;-20.5567760467529
267;-19.9826030731201
300;-19.4267444610596
333;-19.1865177154541
367;-18.7723789215088
400;-17.5386295318604
433;-15.5937623977661
467;-13.746844291687
500;-12.4711132049561
533;-11.4175434112549
567;-10.1580047607422
600;-8.93987464904785
633;-8.3209924697876
667;-8.41073036193848
700;-8.97976970672607
733;-9.96324729919434
767;-11.34996509552
800;-12.8578252792358
833;-14.0602512359619
867;-14.6929492950439
900;-14.7731666564941
933;-14.5562648773193
967;-14.3558883666992
1000;-14.4235363006592
1033;-15.0523366928101
1067;-16.4917640686035
1100;-18.5365047454834
1133;-20.4321975708008
1166;-21.3790683746338
1200;-21.1998805999756
1233;-20.5227127075195
1266;-20.1020965576172
1300;-19.9574604034424
1333;-19.4081535339355
1367;-17.9391632080078
1400;-15.8763017654419
1433;-14.0725841522217
1467;-12.914891242981
1500;-11.9516801834106
1533;-10.7210321426392
1566;-9.5135498046875
1600;-8.91046619415283
1633;-9.05089664459229
1666;-9.78195762634277
1700;-11.0360326766968
1733;-12.6620950698853
1766;-14.2272968292236
1800;-15.2789525985718
1833;-15.6546125411987
1866;-15.5080900192261
1900;-15.1768836975098
1933;-14.9963903427124
1966;-15.2225027084351
2000;-16.0982284545898
2033;-17.7622852325439
2066;-19.9202747344971
2100;-21.7324867248535
2133;-22.3662014007568
2166;-21.8003673553467
2200;-20.8492183685303
2233;-20.2769031524658
2266;-20.0678329467773
2300;-19.5700607299805
2333;-18.260669708252
2366;-16.3781490325928
2400;-14.6580009460449
2433;-13.4520063400269
2466;-12.4486227035522
2500;-11.3324136734009
2533;-10.3228597640991
2566;-9.83413600921631
2600;-10.0055923461914
2633;-10.816180229187
2666;-12.2019643783569
2700;-13.8780679702759
2733;-15.3834562301636
2766;-16.3462505340576
2800;-16.6301364898682
2833;-16.392894744873
2866;-16.0031356811523
2900;-15.8150978088379
2933;-16.1280326843262
2966;-17.2235507965088
3000;-19.1109180450439
3033;-21.2359447479248
3066;-22.6957359313965
3100;-22.9234390258789
3133;-22.1651020050049
3166;-21.192440032959
3200;-20.5618762969971
3233;-20.2174110412598
3266;-19.6747970581055
3300;-18.5147533416748
3333;-16.8211212158203
3366;-15.1056070327759
3400;-13.7417831420898
3433;-12.66672706604
3466;-11.7371892929077
3500;-11.0480012893677
3533;-10.7349948883057
3566;-10.8517894744873
3599;-11.5440425872803
3633;-12.9191102981567
3666;-14.6796751022339
3699;-16.1946849822998
3733;-16.9507789611816
3766;-16.8940525054932
3799;-16.4378089904785
3833;-16.0828971862793
3866;-16.0987720489502
3899;-16.7083339691162
3933;-18.1754722595215
3966;-20.3635005950928
3999;-22.5066165924072
4033;-23.6788024902344
4066;-23.4856204986572
4099;-22.3408699035645
4133;-21.0478000640869
4166;-20.1153793334961
4199;-19.5482234954834
4233;-19.07590675354
4266;-18.3781070709229
4299;-17.2691879272461
4333;-15.8399066925049
4366;-14.3715448379517
4399;-13.1189260482788
4433;-12.2469348907471
4466;-11.821418762207
4499;-11.7466955184937
4533;-11.9370718002319
4566;-12.5941343307495
4599;-13.9750604629517
4633;-15.8114948272705
4666;-17.3059043884277
4699;-17.8290882110596
4733;-17.4652576446533
4766;-16.8348083496094
4799;-16.4909744262695
4833;-16.7171154022217
4866;-17.7608299255371
4899;-19.6753273010254
4933;-21.9524345397949
4966;-23.7503700256348
4999;-24.4533557891846
5033;-23.9821491241455
5066;-22.7836284637451
5099;-21.485860824585
5133;-20.4654006958008
5166;-19.737377166748
5199;-19.0865802764893
5232;-18.2550640106201
5266;-17.1654281616211
5299;-15.9714670181274
5333;-14.8376379013062
5366;-13.8099365234375
5399;-12.9706134796143
5433;-12.459400177002
5466;-12.3034248352051
5499;-12.5467710494995
5532;-13.4502840042114
5566;-15.1307764053345
5599;-17.0495548248291
5632;-18.2832870483398
5666;-18.3879203796387
5699;-17.7613868713379
5732;-17.1439266204834
5766;-17.0193138122559
5799;-17.6129302978516
5832;-19.0603046417236
5866;-21.1734657287598
5899;-23.3423118591309
5932;-24.8797016143799
5966;-25.2957134246826
5999;-24.5232410430908
6032;-23.0733833312988
6066;-21.6614532470703
6099;-20.6522026062012
6132;-19.9501132965088
6166;-19.2473373413086
6199;-18.2926788330078
6232;-17.0645427703857
6266;-15.8079643249512
6299;-14.8085298538208
6332;-14.1360998153687
6366;-13.7182121276855
6399;-13.4859342575073
6432;-13.4207229614258
6466;-13.6896266937256
6499;-14.6221513748169
6532;-16.2836933135986
6566;-18.1243362426758
6599;-19.297119140625
6632;-19.4086627960205
6666;-18.8391780853271
6699;-18.2837772369385
6732;-18.2030410766602
6766;-18.8493099212646
6799;-20.3684139251709
6832;-22.507381439209
6866;-24.5702266693115
6899;-25.8325347900391
6932;-25.8783721923828
6966;-24.8371028900146
6999;-23.3812255859375
7032;-22.1530914306641
7066;-21.2733688354492
7099;-20.5135955810547
7132;-19.6256427764893
7166;-18.4755821228027
7199;-17.136999130249
7232;-15.8945026397705
7266;-15.0372142791748
7299;-14.6106023788452
7332;-14.4045362472534
7366;-14.2109384536743
7399;-14.1290922164917
7432;-14.5872640609741
7466;-15.8851127624512
7499;-17.7239456176758
7532;-19.364236831665
7566;-20.1822109222412
7599;-20.0696678161621
7632;-19.4656066894531
7665;-18.9848575592041
7699;-19.0575695037842
7732;-19.9448146820068
7765;-21.7008686065674
7799;-23.9400539398193
7832;-25.9053897857666
7865;-26.8564033508301
7899;-26.4829921722412
7932;-25.1514091491699
7965;-23.6399517059326
7999;-22.48291015625
8032;-21.6682739257813
8065;-20.8861408233643
8099;-19.8545684814453
8132;-18.518627166748
8165;-17.1227550506592
8199;-16.0146446228027
8232;-15.3292598724365
8265;-14.9462795257568
8299;-14.6921215057373
8332;-14.5410614013672
8365;-14.7355613708496
8399;-15.6278877258301
8432;-17.2439994812012
8465;-19.1142520904541
8499;-20.5709915161133
8532;-21.1289730072021
8565;-20.8013401031494
8599;-20.1468067169189
8632;-19.7990341186523
8665;-20.1193523406982
8699;-21.3151950836182
8732;-23.3208713531494
8765;-25.5554332733154
8799;-27.2054424285889
8832;-27.6873149871826
8865;-26.9080200195313
8899;-25.3679065704346
8932;-23.8491172790527
8965;-22.7888679504395
8999;-22.0529594421387
9032;-21.2709350585938
9065;-20.2005462646484
9099;-18.8518848419189
9132;-17.4651966094971
9165;-16.3347587585449
9199;-15.5889825820923
9232;-15.1578617095947
9265;-14.920166015625
9299;-14.9352312088013
9332;-15.5121364593506
9365;-16.8491172790527
9399;-18.6521091461182
9432;-20.3199291229248
9465;-21.3812370300293
9499;-21.6621971130371
